timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1617983297938,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983298938,64835,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983298938,5080,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983298938,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983299938,64837,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983299938,4401,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983299938,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983300939,64772,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983300939,4090,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983300939,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983301940,64771,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983301940,4402,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983301940,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983302940,64766,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983302940,5156,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983302940,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983303941,64763,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983303941,6791,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983303941,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983304941,64763,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983304941,4475,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983304941,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983305941,64762,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983305941,4491,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983305941,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983306941,64762,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983306941,3112,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983306941,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983307941,64758,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983307941,3601,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983307941,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983308942,64751,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983308942,4216,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983308942,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983309942,64749,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983309942,3660,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983309942,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983310942,64753,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983310942,3022,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983310942,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983311943,64748,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983311943,1966,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983311943,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983312943,64748,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983312943,4179,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983312943,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983313943,64745,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983313943,5658,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
